"User bearbeiten","Edit User"
"neu","new"
"l&ouml;schen","delete"
"Name","Name"
"Passwort","Password"
"Passwort WDHL","Password repeat"
"Vorname","First Name"
"Nachname","Last Name"
"Email","Email"
"Info","Information"
"Rolle","Role"
"Bitte ausw&auml;hlen...","Please choose..."
"Shortcut 1","Shortcut 1"
"Shortcut 2","Shortcut 2"
"Shortcut 3","Shortcut 3"
"Shortcut 4","Shortcut 4"
"Shortcut 5","Shortcut 5"
"keine Auswahl","nothing chosen"
"Projektzuordnung","Project Assignment"
"alle ausw&auml;hlen","select all"
"speichern","save"
"zur&uuml;ck","back"
"Redakteure","User"
"Userprofil","Userprofile"
"Adminsprache","Adminlanguage"
"Das Passwort ist zu kurz%%-comma-%%} bitte mind. 5 Zeichen verwenden","The password is too short, please use at least 5 characters"
"Bitte eine korrekte Email-Syntax verwenden","Please use a valid email syntax"
"Das Passwort und dessen WDHL stimme nicht &uuml;berein","The password and its repeat do not match"
"neuere Version vorhanden%%-comma-%%} Speichern nicht m&ouml;glich (bitte die Seite neu laden)!","newer version available, unable to save(please reload page)!"
"Der Username ist zu kurz%%-comma-%%} bitte mind. 5 Zeichen verwenden","The username is too short, please use at least 5 characters"
"Bitte w&auml;hlen Sie eine Rolle aus!","Please choose a role!"
"Bitte einen anderen Usernamen verwenden%%-comma-%%} dieser existiert bereits","Please use another username, this one already exists"
"Projekt","Project"
"sperren","lock"
"entsperren","unlock"
"Name2","Name2"
"Bitte eine Sprache aus dem Dropdown ausw&auml;hlen!","Please select a language from the dropdown!"
"Der Username besitzt eine unerlaubte L&auml;nge%%-comma-%%} bitte zwischen 3 und 255 Zeichen verwenden!","The username has an illegal length, please use between 3 and 255 characters!"
"Historie","History"
"Bitte eine Rolle aus dem Dropdown ausw&auml;hlen!","Please select a role from the dropdown!"
"Das Passwort ist zu einfach%%-comma-%%} bitte Buchstaben%%-comma-%%} Zahlen und Sonderzeichen verwenden!","The password is too easy, please use letters, numbers and special characters!"
"Grunddaten","Basicdata"
"Shortcuts","Shortcuts"
"Rechte","Rights"
"Bitte ein schwierigeres Passwort w&auml;hlen","Please chose a password, which is more difficult"
